device,app_version,device_id,os_version,page,tag,op,udid,stamp
ios,1.1.3,d3c027936879f10b2e88f75a33dcd14385ac175e,11.3.1,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460033511,2018-06-03 09:41:33
ios,1.1.3,d3c027936879f10b2e88f75a33dcd14385ac175e,11.3.1,tr_ble,ble_data_download,auto,5024040460033511,2018-06-03 09:41:37
ios,1.1.3,d3c027936879f10b2e88f75a33dcd14385ac175e,11.3.1,tr_translate_dialog,action_created_dialog,click,5024040460033511,2018-06-03 09:41:39
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:41:42
ios,1.1.3,2dd97d59103e5e4696202a7b1779f2abfc37e2fb,9.2.1,tr_translate_dialog,click_play_dialog,click,,2018-06-03 09:41:45
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:41:46
ios,1.1.3,2dd97d59103e5e4696202a7b1779f2abfc37e2fb,9.2.1,tr_init,connection_successful,auto,,2018-06-03 09:41:47
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:41:48
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:41:51
ios,1.1.3,692df6ff3514fa2753d2feaf0f36fc7334deb8a4,11.3.1,tr_home,click_trpen_intro,click,5024040460033461,2018-06-03 09:41:52
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:41:53
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:41:57
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:41:59
ios,1.1.3,5409571889481a5c7ea9e669135757ab46a40890,11.3.1,tr_translate_dialog,trapp_start_dialog_B,click,5024040460074301,2018-06-03 09:42:00
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:42:01
ios,1.1.3,2dd97d59103e5e4696202a7b1779f2abfc37e2fb,9.2.1,tr_translate_dialog,trapp_start_dialog_A,click,5024040460065301,2018-06-03 09:42:09
