device_id,udid,device,app_version
00bb204198c9414f,none,android,1.0.7
00fe52e67f2be68e5f6f668850635dc5b57a0c03,none,ios,1.1.2
02ca073dcac5d231ebe3882f476a3a1ccedd662f,none,ios,1.1.2
043dbe7abc02d0ca215db1531b6b47b3f4d9f9a8,none,ios,1.1.2
04f52edb9f8e0c501089d16d8834e23fb6e45e35,none,ios,1.1.3
05d5a35676accd83ce77a802b8cb5adc5d037775,none,ios,1.1.3
06d5fc616faa29152dc46878378d9ba0ed803ccf,none,ios,1.1.3
06f247fe4984d007020cf6fa4fcf7dcf410dba3b,none,ios,1.1.3
0fdba585a103e2cd,none,android,1.0.7
1293e5233b3c0b50,none,android,1.0.8
1502777dbf8e92c0f6d2b04576ce6feb581c1d90,none,ios,1.1.3
190613a40016e7ee24754c2e85e06013e19e4ffb,none,ios,1.1.3
1b1907f472daf7654ed42d9f9fafd3825f16bd0a,none,ios,1.1.3
1b471387fc45555effbecdc0d2363898834486a4,none,ios,1.1.3
1b847bfc4b4d1a1f98f359e00bc6aa249fa8a960,none,ios,1.1.3
229e1acefa8f13c,none,android,1.0.8
2807f4005a1b8ee40b8a694e9f1bd20fe16dae71,none,ios,1.1.3
29054617c58453f4b98ee115ea44b58d405ad598,none,ios,1.1.3
2db2ca9b27416509,none,android,1.0.8
2f2bc22a2104f99e,none,android,1.0.8
2f91e8613b2afaa5,none,android,1.0.8
3aed69c2838621c53ccb31ca77fc547066e29b1f,none,ios,1.1.3
3c8d3cc04b5d6e53,none,android,1.0.8
42b35840dfbd2dd5,none,android,1.0.7
42cc9ac3bcde11867acad5780a285228e9049c7f,none,ios,1.1.3
460f791381e3bb80,none,android,1.0.7
4680115f646e8de4,none,android,1.0.8
496d7d45264a2a7fdfb104c4fe12efda389f7e0a,none,ios,1.1.3
4b57230ee7dc84ed,none,android,1.0.7
5143a7a26cd5b4fd47c758106b80276324b6f9e1,none,ios,1.1.3
52654356d4133fb3,none,android,1.0.7
5476aff5312b258d1e85bddd5b41951740a1aa5f,none,ios,1.1.3
5881faf943871328,none,android,1.0.8
5bb04d965cf3391e,none,android,1.0.8
61de6d22c540873ad3aea45c836cd1f8eadd6efa,none,ios,1.1.3
69985a0018b10cb1462f9d1cbf7d72768957cdcd,none,ios,1.1.3
6b6c9c7c5d95481a,none,android,1.0.8
6db346f0f9a17ca7c5f072ac12763fcab3c071e2,none,ios,1.1.2
72056ae00c53ffcb0eb8bc87ad72ddc6dc43c9c9,none,ios,1.1.3
727ca45fe16a7d79cdd48a5abdb3486bccb971ef,none,ios,1.1.3
7298d1175d758e4020841d6d202ea6e61be0f870,none,ios,1.1.3
75065afc2c235f96cd1eeaa675395acffd53c724,none,ios,1.1.3
7dd07aedb0ea622b368fc9e812548c2cf6d29849,none,ios,1.1.3
7ecdd0400b8ffe362bf4047aa02c97f26a08c9e2,none,ios,1.1.3
816a584ef289f800,none,android,1.0.8
820b889450e2cc6fda32ee761b113bfc9136f941,none,ios,1.1.3
89c0cbfa0ffdba0aa37301098e92eae2b66b86e5,none,ios,1.1.3
8cff71264c49d25d,none,android,1.0.8
946dd0b960bb26fc,none,android,1.0.8
9939497cf7c17eb8,none,android,1.0.7
9999c51c5b1d58e8,none,android,1.0.8
9af7a524b6ea44ed3f272d1b0ef6766b423a1a12,none,ios,1.1.3
9d570ed63bd474199a0f8244983f38f5cb92335a,none,ios,1.1.3
a3a722e6a4e2443ca8afe2bbeef28b8d693d6e4e,none,ios,1.1.2
a42501c42a09f6e3,none,android,1.0.8
aac72d3b5915dc1c,none,android,1.0.8
ae69f92909e304dc120ed29b59211912d8b458e9,none,ios,1.1.3
b0e656d8108860ee,none,android,1.0.7
b43433a60b14cf3f24071f067d1900532ea881dd,none,ios,1.1.3
b5ea273f1eb2395cd645959050d51bd787bee103,none,ios,1.1.2
b69ac0a60238be4690b20c4f22f36cc8a5ff6e27,none,ios,1.1.2
b9e437e3ed1c1d0e,none,android,1.0.8
c08a1c00ea0aa1f0e1a315d8fd0e4cabff8b26ef,none,ios,1.1.3
c576ab056374f6e9fd7a926c25bbc6ecac902a1f,none,ios,1.1.3
ce8809e0a5277d76aa79a3bf14169784f9858d83,none,ios,1.1.3
d07f763469fabb60,none,android,1.0.8
d08e153ebe08922fae7600840589f0fecb4c37f2,none,ios,1.1.3
d18ec60c73ad38c76f8845cbf3975f888edbb937,none,ios,1.1.3
d4a2c6493511d1b5,none,android,1.0.7
d7d107cbab862bdc,none,android,1.0.8
da8b02aba85e1dd3a9006a3ee42af0ed61a0897c,none,ios,1.1.3
e07451105ae65c46,none,android,1.0.7
e7f174fe96614a826e932e09d71b1b14a736a8c5,none,ios,1.1.3
e831a21df5aa391e,none,android,1.0.7
e99b3ec9ab60043b965ef436a79c0bd070140adb,none,ios,1.1.3
ec941bb3e50dc8e6,none,android,1.0.7
f1ba651e57e95daa0f27203ff55feb2d76d4091a,none,ios,1.1.3
f3711a089113013cfc40384df226d630502916af,none,ios,1.1.3
f3f74d6da734b27a,none,android,1.0.8
